0	1	2	3	4	5
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/cruises/cruise-package-SIYQM4PK?packageid=SIYQM4PK&dest=CARIB&shipCode=SI&shipName=Celebrity Silhouette&sailDate=1160221&cabincls=DELUXE	01-23-2016	21:22:26 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/cruise-search/search-results	01-23-2016	21:22:39 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	https://secure.celebritycruises.com/checkin/beforeyoucruise	01-24-2016	01:43:08 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	https://secure.celebritycruises.com/checkin/beforeyoucruise	01-24-2016	01:43:19 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/ships	01-24-2016	01:44:23 GMT
0000cd41e2beff03ce2f0573281c0b34	1	04:27:51	http://www.celebritycruises.com/ships/celebrity-silhouette	01-24-2016	01:44:38 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:45:19 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:45:20 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-eclipse	01-09-2016	18:50:10 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-eclipse	01-09-2016	18:50:11 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:50:47 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:50:48 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:51:58 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:51:59 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-constellation	01-09-2016	18:53:55 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-constellation	01-09-2016	18:53:56 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:54:35 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:54:36 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-xpedition	01-09-2016	18:54:38 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships/celebrity-xpedition	01-09-2016	18:54:39 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:56:13 GMT
0000d14f6e7425b4abf5b40f46c2679d	1	172:01:57	http://www.celebritycruises.com/ships	01-09-2016	18:56:14 GMT
