Segment Code	Frequency	Freq_Percentage
16145	23075	0.0178%
16144	70827	0.0547%
16143	59677	0.0461%
16142	73937	0.0571%
16141	85765	0.0662%
16140	84345	0.0651%
6639	73522	0.0568%
6638	237121	0.1831%
9120	402	0.0003%
9121	89	0.0001%
9122	2166	0.0017%
9123	758	0.0006%
9124	1359	0.0010%
9125	1074	0.0008%
10309	3802	0.0029%
9127	333	0.0003%
9128	1366	0.0011%
9129	2137	0.0017%
8313	45	0.0000%
21239	21	0.0000%
6631	64989	0.0502%
6630	125418	0.0968%
1919	149	0.0001%
1918	110	0.0001%
5108	727	0.0006%
5109	9	0.0000%
9238	459929	0.3551%
9239	459791	0.3550%
5102	3506	0.0027%
9235	488973	0.3776%
9236	322798	0.2493%
9237	458298	0.3539%
1915	599	0.0005%
9231	145639	0.1125%
9232	427108	0.3298%
9233	157799	0.1218%
2026	318	0.0002%
2027	19	0.0000%
14802	22263	0.0172%
27536	2	0.0000%
27537	230	0.0002%
27534	1	0.0000%
3058	233491	0.1803%
3059	575	0.0004%
14758	541	0.0004%
27530	75	0.0001%
27531	57	0.0000%
1680	364	0.0003%
1682	89	0.0001%
1685	274	0.0002%
1684	32	0.0000%
1687	242	0.0002%
1686	22	0.0000%
1689	657	0.0005%
1688	38	0.0000%
14750	1	0.0000%
14751	24	0.0000%
9234	413875	0.3196%
27538	2	0.0000%
5103	2460	0.0019%
27539	2	0.0000%
5100	25694	0.0198%
14776	135	0.0001%
14777	45	0.0000%
14774	6	0.0000%
5101	42	0.0000%
14772	12	0.0000%
14773	11	0.0000%
14770	1680	0.0013%
14771	32	0.0000%
5106	14	0.0000%
14778	39	0.0000%
1914	282	0.0002%
1469	1242	0.0010%
5104	4016	0.0031%
8	389511	0.3008%
5105	15275	0.0118%
1461	8129	0.0063%
1460	8	0.0000%
1463	484380	0.3740%
1314	4208	0.0032%
1313	17741	0.0137%
1311	387612	0.2993%
1310	306814	0.2369%
464	124	0.0001%
23161	42941	0.0332%
23160	46218	0.0357%
23163	36950	0.0285%
23165	35471	0.0274%
23164	6281	0.0048%
23167	20397	0.0157%
23166	85420	0.0660%
7720	354431	0.2737%
23168	141028	0.1089%
7722	470443	0.3633%
7723	19233	0.0149%
7724	411630	0.3178%
7725	448809	0.3466%
7726	488609	0.3773%
