Segment Code	Frequency
358	991471
25071	1784
25070	16678
3228	46
1111	3657651
1110	7358896
1445	2324054
289	1893199
1444	3229660
281	1556888
280	1560642
283	2408754
282	1067681
284	992
1442	8111798
1117	3607816
1440	7975189
21179	13518
263	130662
262	3664
261	4905
267	371053
266	202571
265	471494
264	10601
3225	6
2497	2254
21350	3431
5158	2375771
21352	1179
9260	1805
21354	3884
21355	1677
21356	1539
9264	226
5151	2845335
5150	446
9269	1292
5152	4670749
23214	1093
2781	880
2780	1923
2783	1533
9089	8988
9088	13315
9087	20053
16220	4502133
9319	981
9317	1465
9316	802
9315	5466
5089	1562943
5088	593305
5087	2884382
3214	21364
1987	1243
3216	881527
3217	1274588
1982	2908
3211	2328
1980	605
1981	8558
3218	1625535
3219	1274598
1988	8933
1989	4435
21340	28
2815	96519
2817	28958
2816	71305
2819	3963
2818	1202
3171	60197
3170	13107
3172	1836
3174	306
3177	1435
3376	57156
3373	46254
5420	19951
5423	430614
5422	833400
472	11374
48	1301365
3196	21565
46	1400962
47	3840934
45	93030
43	3029
40	5844169
41	8687
1298	102675
471	2519
1292	3945644
1293	269220
1290	46006
1291	182382
1296	1095073
1297	998440
1294	97089
1295	107788
1361	12854
23198	97
23199	3807
23194	344
23195	48
23196	38
23197	1475
23190	400
23191	602
23193	86204
1366	5759
473	12069
1364	3076
3194	4621435
476	3674
1363	2793978
1360	1548
475	5390
478	955
479	4791
1368	2081686
3198	17408
